<TICKER>,<PER>,<DATE>,<TIME>,<USD_OPEN>,<USD_HIGH>,<USD_LOW>,<USD_CLOSE>,<USD_VOL>
USDRUB,60,20160209,210000,78.4131000,78.7761000,78.0319000,78.7167000,36222
USDRUB,60,20160209,220000,78.7167000,78.9246000,78.2844000,78.8846000,31322
USDRUB,60,20160209,230000,78.8846000,79.4866000,78.7250000,79.4096000,31786
USDRUB,60,20160210,000000,79.4096000,79.9381000,79.3280000,79.6681000,32314
USDRUB,60,20160210,010000,79.6686000,79.9396000,79.6061000,79.6991000,31183
USDRUB,60,20160210,020000,79.6991000,79.8508000,79.5000000,79.7112000,24435
USDRUB,60,20160210,030000,79.6999000,79.8119000,78.0093000,78.0093000,2615
USDRUB,60,20160210,040000,79.0058000,79.4978000,77.9925000,78.8545000,549
USDRUB,60,20160210,050000,79.3017000,79.7382000,78.2745000,78.8181000,466
USDRUB,60,20160210,060000,79.2835000,79.7443000,78.8181000,79.2381000,477
USDRUB,60,20160210,070000,79.5060000,79.7492000,79.0941000,79.5721000,907
USDRUB,60,20160210,080000,79.6551000,79.7418000,79.0721000,79.0771000,2402
USDRUB,60,20160210,090000,79.2445000,79.4695000,79.0671000,79.0921000,2302
USDRUB,60,20160210,100000,79.2542000,79.4700000,78.9873000,79.0121000,3260
USDRUB,60,20160210,110000,79.2650000,79.4470000,78.9680000,78.9869000,2168
USDRUB,60,20160210,120000,79.2629000,79.6850000,78.9869000,79.3871000,1724
USDRUB,60,20160210,130000,79.4274000,79.5624000,78.7186000,79.1163000,53579
USDRUB,60,20160210,140000,79.1298000,79.1745000,78.6144000,78.7478000,50505
USDRUB,60,20160210,150000,78.7330000,78.9424000,78.5280000,78.7301000,48963
USDRUB,60,20160210,160000,78.7301000,79.1442000,78.6644000,78.8189000,49031
USDRUB,60,20160210,170000,78.8189000,78.9997000,78.6144000,78.9557000,48932
USDRUB,60,20160210,180000,78.9557000,79.0074000,78.5644000,78.6253000,44751
USDRUB,60,20160210,190000,78.6253000,79.1032000,78.5269000,78.8869000,38990
USDRUB,60,20160210,200000,78.8869000,79.1931000,78.6744000,78.7296000,46032
USDRUB,60,20160210,210000,78.7296000,78.8201000,77.6333000,78.6535000,40846
