<TICKER>,<PER>,<DATE>,<TIME>,<AF_OPEN>,<AF_HIGH>,<AF_LOW>,<AF_CLOSE>,<AF_VOL>
DJ.A1FIN,60,20151110,140000,248.9948364,249.0211522,248.9264154,248.9422048,375
DJ.A1FIN,60,20151110,150000,248.9369417,249.3579945,248.5790468,248.9895733,488
DJ.A1FIN,60,20151110,160000,249.0053628,249.1000996,248.2264151,249.0843102,574
DJ.A1FIN,60,20151110,170000,249.1000996,249.4527314,248.8843101,249.2422050,534
DJ.A1FIN,60,20151110,180000,249.2316786,249.5474682,248.9422048,249.3106260,472
DJ.A1FIN,60,20151110,190000,249.2579944,249.7106262,249.0000996,249.6843104,465
DJ.A1FIN,60,20151110,200000,249.6790472,250.3001001,249.4895735,249.9948368,465
DJ.A1FIN,60,20151110,210000,249.9632579,250.2790475,249.9106263,250.1211527,516
DJ.A1FIN,60,20151110,220000,250.2264159,250.2474685,250.1948369,250.2001001,187
DJ.A1FIN,60,20151111,010000,250.2106264,250.2264159,250.2001001,250.2053632,216
DJ.A1FIN,60,20151111,020000,250.2106264,250.2474685,250.2053632,250.2422054,171
DJ.A1FIN,60,20151111,030000,250.2369422,250.2527317,250.2316790,250.2474685,161
DJ.A1FIN,60,20151111,040000,250.2422054,250.2737843,250.2422054,250.2685212,135
DJ.A1FIN,60,20151111,050000,250.2632580,250.2685212,250.2422054,250.2527317,143
DJ.A1FIN,60,20151111,060000,250.2422054,250.2527317,250.2369422,250.2422054,130
DJ.A1FIN,60,20151111,070000,250.2369422,250.2369422,250.2106264,250.2211527,114
DJ.A1FIN,60,20151111,080000,250.2264159,250.2474685,250.2158896,250.2369422,309
DJ.A1FIN,60,20151111,090000,250.2316790,250.2422054,250.1948369,250.2001001,375
DJ.A1FIN,60,20151111,100000,250.1948369,250.2316790,250.1895738,250.2053632,329
DJ.A1FIN,60,20151111,110000,250.2158896,250.2211527,250.1895738,250.2106264,313
DJ.A1FIN,60,20151111,120000,250.2053632,250.2369422,250.2001001,250.2158896,349
DJ.A1FIN,60,20151111,130000,250.2211527,250.3527317,250.2158896,250.3422054,314
DJ.A1FIN,60,20151111,140000,250.3527317,250.3895738,250.2948370,250.3790475,383
DJ.A1FIN,60,20151111,150000,250.3843107,251.2106268,250.3579949,250.6369424,482
DJ.A1FIN,60,20151111,160000,250.6422055,250.6632582,249.7422052,250.0895737,529
DJ.A1FIN,60,20151111,170000,250.1001000,250.5895739,249.8948368,250.4843107,504
DJ.A1FIN,60,20151111,180000,250.4895739,250.9264162,250.4474686,250.8474688,470
DJ.A1FIN,60,20151111,190000,250.8422056,250.8422056,249.7843104,249.9422052,476
DJ.A1FIN,60,20151111,200000,249.9369421,250.4106265,249.8158894,249.8158894,468
DJ.A1FIN,60,20151111,210000,249.8053631,250.2001001,249.7316788,249.8948368,492
DJ.A1FIN,60,20151111,220000,249.8843105,249.8948368,249.8737842,249.8948368,165
DJ.A1FIN,60,20151112,010000,249.8895736,249.9158894,249.8790473,249.9106263,208
DJ.A1FIN,60,20151112,020000,249.9158894,249.9527316,249.9106263,249.9369421,208
DJ.A1FIN,60,20151112,030000,249.9422052,249.9422052,249.9158894,249.9211526,211
DJ.A1FIN,60,20151112,040000,249.9316789,249.9316789,249.9211526,249.9264158,12
DJ.A1FIN,60,20151112,050000,249.9053631,249.9211526,249.9001000,249.9106263,129
DJ.A1FIN,60,20151112,060000,249.9158894,249.9158894,249.8948368,249.9053631,147
DJ.A1FIN,60,20151112,070000,249.9053631,249.9106263,249.8948368,249.9001000,115
DJ.A1FIN,60,20151112,080000,249.8948368,249.9158894,249.8737842,249.8737842,315
DJ.A1FIN,60,20151112,090000,249.8843105,249.8843105,249.8474684,249.8737842,329
DJ.A1FIN,60,20151112,100000,249.8790473,249.8895736,249.8474684,249.8527315,269
DJ.A1FIN,60,20151112,110000,249.8579947,249.8843105,249.8527315,249.8632578,312
DJ.A1FIN,60,20151112,120000,249.8579947,249.8895736,249.8211526,249.8316789,339
DJ.A1FIN,60,20151112,130000,249.8264157,249.8422052,249.6948367,249.6948367,395
DJ.A1FIN,60,20151112,140000,249.6895736,249.7000999,249.6264156,249.6579946,364
DJ.A1FIN,60,20151112,150000,249.6632578,249.6632578,247.0369409,247.1685199,483
DJ.A1FIN,60,20151112,160000,247.1316778,248.0527308,246.7527303,248.0527308,578
DJ.A1FIN,60,20151112,170000,248.0579940,248.1685203,247.0790462,247.3527305,549
DJ.A1FIN,60,20151112,180000,247.3632568,247.4895727,246.6316776,247.1422041,498
DJ.A1FIN,60,20151112,190000,247.1527304,247.5316780,247.0422041,247.3948358,497
DJ.A1FIN,60,20151112,200000,247.4000990,247.4211516,246.4106249,246.7000987,506
DJ.A1FIN,60,20151112,210000,246.6685197,246.9316777,245.9422036,245.9422036,523
DJ.A1FIN,60,20151112,220000,245.9369405,245.9474668,245.9264142,245.9422036,153
DJ.A1FIN,60,20151113,010000,245.9369405,245.9474668,245.9316773,245.9369405,121
DJ.A1FIN,60,20151113,020000,245.9474668,245.9474668,245.9211510,245.9316773,179
DJ.A1FIN,60,20151113,030000,245.9264142,245.9474668,245.9264142,245.9316773,148
DJ.A1FIN,60,20151113,040000,245.9369405,245.9474668,245.9264142,245.9422036,170
DJ.A1FIN,60,20151113,050000,245.9474668,245.9474668,245.9211510,245.9264142,149
DJ.A1FIN,60,20151113,060000,245.9211510,245.9316773,245.9106247,245.9211510,133
DJ.A1FIN,60,20151113,070000,245.9158878,245.9369405,245.8948352,245.9264142,149
DJ.A1FIN,60,20151113,080000,245.9316773,245.9474668,245.9106247,245.9264142,279
DJ.A1FIN,60,20151113,090000,245.9211510,245.9369405,245.9053615,245.9106247,356
DJ.A1FIN,60,20151113,100000,245.9053615,245.9264142,245.8895720,245.9053615,282
DJ.A1FIN,60,20151113,110000,245.9106247,245.9474668,245.9106247,245.9316773,267
DJ.A1FIN,60,20151113,120000,245.9369405,245.9579931,245.9106247,245.9211510,376
DJ.A1FIN,60,20151113,130000,245.9158878,245.9158878,245.8158878,245.8527299,353
DJ.A1FIN,60,20151113,140000,245.8474668,245.8948352,245.7843088,245.7895720,375
DJ.A1FIN,60,20151113,150000,245.7843088,246.0843090,244.9948348,245.1474665,497
DJ.A1FIN,60,20151113,160000,245.1422033,245.1948349,243.7000975,244.5316768,603
DJ.A1FIN,60,20151113,170000,244.5264136,245.1790454,243.8422028,245.1790454,538
DJ.A1FIN,60,20151113,180000,245.1843086,245.6843088,244.4422030,244.6000978,509
DJ.A1FIN,60,20151113,190000,244.6106242,244.7316768,244.0474660,244.0474660,493
DJ.A1FIN,60,20151113,200000,243.9895713,244.1474661,243.3106236,243.3737816,526
DJ.A1FIN,60,20151113,210000,243.3685184,243.8264133,243.2106236,243.7053606,538
DJ.A1FIN,60,20151113,220000,243.6737817,243.6790448,243.6369396,243.6474659,65
DJ.A1FIN,60,20151116,010000,243.6422027,243.6474659,243.6053606,243.6211501,106
DJ.A1FIN,60,20151116,020000,243.6264132,243.6422027,243.6211501,243.6369396,59
DJ.A1FIN,60,20151116,030000,243.6316764,243.6422027,243.6316764,243.6422027,66
DJ.A1FIN,60,20151116,040000,243.6369396,243.6422027,243.6316764,243.6422027,28
DJ.A1FIN,60,20151116,050000,243.6369396,243.6422027,243.6211501,243.6369396,29
DJ.A1FIN,60,20151116,060000,243.6422027,243.6579922,243.6369396,243.6527290,45
DJ.A1FIN,60,20151116,070000,243.6579922,243.6685185,243.6422027,243.6632554,106
DJ.A1FIN,60,20151116,080000,243.6579922,243.6895712,243.6527290,243.6790448,180
DJ.A1FIN,60,20151116,090000,243.6843080,243.6895712,243.6474659,243.6790448,202
DJ.A1FIN,60,20151116,100000,243.6737817,243.6790448,243.6474659,243.6632554,188
DJ.A1FIN,60,20151116,110000,243.6579922,243.6685185,243.6211501,243.6369396,222
DJ.A1FIN,60,20151116,120000,243.6422027,243.6737817,243.6158869,243.6527290,250
DJ.A1FIN,60,20151116,130000,243.6474659,243.7106238,243.6422027,243.7106238,309
DJ.A1FIN,60,20151116,140000,243.7053606,243.7106238,243.6053606,243.6211501,390
DJ.A1FIN,60,20151116,150000,243.6158869,244.2685188,243.0316762,243.4158868,514
DJ.A1FIN,60,20151116,160000,243.4369395,243.5948343,242.8843077,243.1895710,575
DJ.A1FIN,60,20151116,170000,243.2053604,243.9422028,243.1685183,243.6632554,544
DJ.A1FIN,60,20151116,180000,243.6948343,244.6264136,243.6685185,244.2474661,512
DJ.A1FIN,60,20151116,190000,244.2579924,244.9474664,244.2369398,244.9264138,474
DJ.A1FIN,60,20151116,200000,245.0000980,245.4422034,244.8843085,245.2527297,479
DJ.A1FIN,60,20151116,210000,245.2790455,246.5316776,245.2790455,246.5316776,513
DJ.A1FIN,60,20151116,220000,246.5527302,246.5737828,246.5474670,246.5632565,147
DJ.A1FIN,60,20151117,010000,246.5422039,246.5632565,246.5369407,246.5527302,171
DJ.A1FIN,60,20151117,020000,246.5579934,246.5579934,246.5316776,246.5474670,169
DJ.A1FIN,60,20151117,030000,246.5369407,246.5527302,246.5264144,246.5316776,201
DJ.A1FIN,60,20151117,040000,246.5369407,246.5369407,246.5211512,246.5369407,167
DJ.A1FIN,60,20151117,050000,246.5316776,246.5474670,246.5264144,246.5422039,135
DJ.A1FIN,60,20151117,060000,246.5369407,246.5474670,246.5264144,246.5369407,176
DJ.A1FIN,60,20151117,070000,246.5422039,246.5527302,246.5316776,246.5474670,167
DJ.A1FIN,60,20151117,080000,246.5422039,246.5579934,246.5264144,246.5474670,336
DJ.A1FIN,60,20151117,090000,246.5527302,246.5685197,246.5422039,246.5527302,344
DJ.A1FIN,60,20151117,100000,246.5579934,246.6053618,246.5474670,246.5948355,342
DJ.A1FIN,60,20151117,110000,246.6000986,246.6158881,246.5737828,246.6000986,350
DJ.A1FIN,60,20151117,120000,246.5948355,246.6264144,246.5474670,246.5579934,344
DJ.A1FIN,60,20151117,130000,246.5632565,246.6474671,246.5632565,246.6474671,376
DJ.A1FIN,60,20151117,140000,246.6369408,246.7422040,246.6264144,246.7158882,418
DJ.A1FIN,60,20151117,150000,246.7106250,247.0158883,246.1474669,246.6053618,501
DJ.A1FIN,60,20151117,160000,246.6158881,247.7579938,246.3948354,247.5685201,576
DJ.A1FIN,60,20151117,170000,247.5632569,248.3737836,247.3474674,248.3685204,534
DJ.A1FIN,60,20151117,180000,248.3632572,248.5158889,247.4527306,247.7685202,547
DJ.A1FIN,60,20151117,190000,247.7632570,248.0158887,246.9843093,247.6843096,521
DJ.A1FIN,60,20151117,200000,247.6895728,247.8579939,246.3948354,246.8527303,518
DJ.A1FIN,60,20151117,210000,246.8632566,246.9948356,246.0948353,246.4158880,566
DJ.A1FIN,60,20151117,220000,246.4316775,246.4316775,246.4106249,246.4264144,129
DJ.A1FIN,60,20151118,010000,246.4158880,246.4158880,246.3948354,246.3948354,124
DJ.A1FIN,60,20151118,020000,246.4000986,246.4053617,246.3843091,246.3843091,137
DJ.A1FIN,60,20151118,030000,246.3895722,246.4053617,246.3843091,246.3948354,184
DJ.A1FIN,60,20151118,040000,246.4000986,246.4053617,246.3895722,246.3948354,140
DJ.A1FIN,60,20151118,050000,246.4000986,246.4158880,246.3895722,246.4106249,144
DJ.A1FIN,60,20151118,060000,246.4158880,246.4211512,246.4000986,246.4158880,164
DJ.A1FIN,60,20151118,070000,246.4158880,246.4264144,246.4106249,246.4211512,145
